id,issue_type,complaint_text,area,votes,attachments,priority_label
3655,Streetlight Not Working,bulb kharab,Bokaro,25,2,Low
3656,Pothole,Road broken badly,Chaibasa,52,2,High
3657,Electricity Outage,Bijli chali gayi,Giridih,43,2,Medium
3658,Water Leakage,Pipeline burst,Hazaribagh,94,0,High
3659,Road Damage,road crack,Jamshedpur,31,1,Medium
3660,Public Toilet Issue,Public toilet problem,Ranchi,72,4,Medium
3661,Garbage Dump,ganda kachra near market,Jamshedpur,63,3,High
3662,Road Damage,Road damaged,Hazaribagh,57,0,High
3663,Pothole,pothol road broken hai,Giridih,42,0,Medium
3664,Road Damage,Sadak kharab hai,Bokaro,75,2,High
3665,Road Damage,bad road condition,Chaibasa,58,3,Medium
3666,Illegal Parking,illegal gaadi parking,Hazaribagh,35,1,Low
3667,Noise Pollution,Loud noise,Bokaro,91,3,Medium
3668,Streetlight Not Working,Streetlight issue,Hazaribagh,28,1,Medium
3669,Public Toilet Issue,Toilet unclean,Jamshedpur,33,2,Low
3670,Pothole,Road broken badly,Chaibasa,75,2,High
3671,Illegal Parking,no parking followed,Hazaribagh,2,2,Medium
3672,Noise Pollution,high sound pollution,Hazaribagh,46,4,High
3673,Public Toilet Issue,smelly toilet,Giridih,73,3,High
3674,Drainage Blockage,Nali jam hai,Chaibasa,53,2,High
3675,Illegal Parking,illegal gaadi parking,Bokaro,87,4,High
3676,Pothole,pothol road broken hai,Ranchi,97,1,High
3677,Illegal Parking,no parking followed,Giridih,1,3,Medium
3678,Illegal Parking,Blocking road,Dhanbad,8,1,Low
3679,Public Toilet Issue,smelly toilet,Chaibasa,56,3,Medium
3680,Noise Pollution,DJ loud hai,Giridih,52,1,High
3681,Public Toilet Issue,Toilet unclean,Jamshedpur,8,5,High
3682,Garbage Dump,kachra bahut hai,Giridih,16,4,Medium
3683,Water Leakage,Water leakage near colony,Dhanbad,36,1,High
3684,Water Leakage,leakage of pani,Bokaro,27,4,High
3685,Pothole,Road broken badly,Hazaribagh,48,4,High
3686,Water Leakage,pipe se pani nikal raha hai,Chaibasa,24,2,High
3687,Water Leakage,pipe se pani nikal raha hai,Bokaro,64,2,High
3688,Electricity Outage,No electricity since morning,Deoghar,32,4,High
3689,Garbage Dump,Garbage not collected,Ranchi,14,4,Medium
3690,Water Leakage,Water leakage near colony,Deoghar,67,0,High
3691,Water Leakage,pipe se pani nikal raha hai,Ranchi,46,2,High
3692,Road Damage,Road damaged,Giridih,81,3,High
3693,Water Leakage,Pipeline burst,Bokaro,21,0,High
3694,Noise Pollution,high sound pollution,Giridih,91,2,Medium
3695,Water Leakage,Water leakage near colony,Chaibasa,69,3,High
3696,Garbage Dump,Garbage not collected,Hazaribagh,32,1,High
3697,Public Toilet Issue,smelly toilet,Giridih,85,4,Medium
3698,Water Leakage,pipe se pani nikal raha hai,Ranchi,69,4,High
3699,Water Leakage,leakage of pani,Hazaribagh,67,3,High
3700,Water Leakage,Pipeline burst,Ranchi,93,5,High
3701,Electricity Outage,power outage,Hazaribagh,8,3,High
3702,Pothole,Road broken badly,Giridih,34,3,High
3703,Garbage Dump,ganda kachra near market,Giridih,45,1,Low
3704,Illegal Parking,illegal gaadi parking,Deoghar,7,3,Medium
3705,Streetlight Not Working,Streetlight issue,Deoghar,1,4,Medium
3706,Illegal Parking,Blocking road,Ranchi,68,5,High
3707,Public Toilet Issue,Public toilet problem,Bokaro,76,1,High
3708,Road Damage,bad road condition,Jamshedpur,43,4,High
3709,Noise Pollution,DJ loud hai,Chaibasa,55,3,High
3710,Water Leakage,leakage of pani,Dhanbad,5,0,High
3711,Noise Pollution,DJ loud hai,Hazaribagh,57,0,Medium
3712,Noise Pollution,Noise disturbing area,Deoghar,13,2,Medium
3713,Noise Pollution,Noise disturbing area,Jamshedpur,82,3,Medium
3714,Public Toilet Issue,Toilet unclean,Hazaribagh,42,3,High
3715,Electricity Outage,power outage,Bokaro,71,3,High
3716,Road Damage,Sadak kharab hai,Jamshedpur,69,1,High
3717,Public Toilet Issue,toilet band hai,Bokaro,93,3,High
3718,Electricity Outage,Bijli chali gayi,Hazaribagh,38,1,Medium
3719,Public Toilet Issue,toilet band hai,Dhanbad,66,3,Medium
3720,Electricity Outage,Bijli chali gayi,Ranchi,28,4,High
3721,Streetlight Not Working,bulb kharab,Ranchi,34,4,Medium
3722,Pothole,pothol road broken hai,Ranchi,80,0,High
3723,Public Toilet Issue,Public toilet problem,Giridih,29,3,Medium
3724,Water Leakage,Water leakage near colony,Hazaribagh,16,2,Medium
3725,Streetlight Not Working,bulb kharab,Jamshedpur,6,4,High
3726,Garbage Dump,ganda kachra near market,Dhanbad,86,2,Medium
3727,Public Toilet Issue,smelly toilet,Giridih,23,1,Medium
3728,Drainage Blockage,Drain blocked,Ranchi,53,4,High
3729,Noise Pollution,Noise disturbing area,Deoghar,28,1,Medium
3730,Road Damage,bad road condition,Deoghar,81,1,Medium
3731,Public Toilet Issue,Toilet unclean,Bokaro,10,2,Medium
3732,Water Leakage,Water leakage near colony,Chaibasa,94,2,High
3733,Water Leakage,Pipeline burst,Ranchi,77,4,High
3734,Public Toilet Issue,smelly toilet,Hazaribagh,52,0,Medium
3735,Drainage Blockage,Drainage issue,Ranchi,40,2,High
3736,Public Toilet Issue,toilet band hai,Ranchi,76,1,Medium
3737,Noise Pollution,Noise disturbing area,Bokaro,28,4,Medium
3738,Pothole,Road broken badly,Bokaro,35,2,High
3739,Public Toilet Issue,smelly toilet,Bokaro,71,5,Medium
3740,Road Damage,Road damaged,Bokaro,12,1,Low
3741,Streetlight Not Working,Streetlight issue,Bokaro,6,1,Low
3742,Public Toilet Issue,Public toilet problem,Deoghar,32,0,Medium
3743,Streetlight Not Working,Light not working,Deoghar,44,0,Low
3744,Drainage Blockage,Drain blocked,Chaibasa,12,0,High
3745,Public Toilet Issue,Toilet unclean,Hazaribagh,6,4,Medium
3746,Electricity Outage,Power cut in area,Hazaribagh,43,3,High
3747,Drainage Blockage,Nali jam hai,Deoghar,11,1,High
3748,Road Damage,Sadak kharab hai,Jamshedpur,9,4,Medium
3749,Pothole,pothol road broken hai,Bokaro,44,5,High
3750,Garbage Dump,Overflowing garbage,Chaibasa,78,5,Medium
3751,Drainage Blockage,dirty water overflow,Giridih,63,0,High
3752,Water Leakage,Pipeline burst,Bokaro,35,3,High
3753,Water Leakage,pipe se pani nikal raha hai,Deoghar,9,5,High
3754,Pothole,pothol road broken hai,Jamshedpur,58,3,Medium
3755,Road Damage,bad road condition,Deoghar,84,3,High
3756,Streetlight Not Working,Light not working,Giridih,87,1,High
3757,Noise Pollution,Loud noise,Ranchi,4,0,Low
3758,Garbage Dump,kachra bahut hai,Bokaro,6,5,Medium
3759,Garbage Dump,Overflowing garbage,Bokaro,68,4,Medium
3760,Garbage Dump,ganda kachra near market,Jamshedpur,49,1,Medium
3761,Drainage Blockage,dirty water overflow,Deoghar,11,4,High
3762,Pothole,pothol road broken hai,Giridih,84,4,High
3763,Water Leakage,Pipeline burst,Dhanbad,48,3,High
3764,Water Leakage,leakage of pani,Jamshedpur,0,5,High
3765,Drainage Blockage,dirty water overflow,Ranchi,53,2,High
3766,Pothole,khadda on street,Ranchi,68,1,High
3767,Noise Pollution,Loud noise,Deoghar,74,5,Medium
3768,Road Damage,Road damaged,Chaibasa,26,3,High
3769,Illegal Parking,Blocking road,Giridih,48,4,High
3770,Public Toilet Issue,smelly toilet,Giridih,12,0,Medium
3771,Drainage Blockage,Nali jam hai,Hazaribagh,51,1,High
3772,Public Toilet Issue,Toilet unclean,Dhanbad,26,4,High
3773,Drainage Blockage,Nali jam hai,Bokaro,54,2,High
3774,Streetlight Not Working,Light not working,Bokaro,2,5,Medium
3775,Noise Pollution,Loud noise,Giridih,100,1,High
3776,Pothole,Big pothole on road,Hazaribagh,13,1,Low
3777,Drainage Blockage,Drainage issue,Ranchi,41,0,High
3778,Pothole,khadda on street,Bokaro,85,4,High
3779,Public Toilet Issue,Toilet unclean,Giridih,17,2,Medium
3780,Electricity Outage,Power cut in area,Bokaro,31,4,High
3781,Drainage Blockage,Nali jam hai,Hazaribagh,20,4,High
3782,Electricity Outage,No electricity since morning,Giridih,13,3,High
3783,Road Damage,road crack,Bokaro,79,3,High
3784,Water Leakage,leakage of pani,Chaibasa,43,1,High
3785,Streetlight Not Working,bulb kharab,Bokaro,4,1,Low
3786,Garbage Dump,Garbage not collected,Jamshedpur,23,2,Low
3787,Garbage Dump,Overflowing garbage,Dhanbad,66,5,Medium
3788,Road Damage,Sadak kharab hai,Bokaro,14,1,Medium
3789,Public Toilet Issue,toilet band hai,Ranchi,81,4,High
3790,Public Toilet Issue,smelly toilet,Deoghar,50,4,Medium
3791,Electricity Outage,No electricity since morning,Dhanbad,88,4,High
3792,Garbage Dump,ganda kachra near market,Bokaro,31,3,Medium
3793,Garbage Dump,kachra bahut hai,Ranchi,14,4,Medium
3794,Garbage Dump,ganda kachra near market,Bokaro,33,0,Medium
3795,Garbage Dump,Overflowing garbage,Jamshedpur,64,4,High
3796,Drainage Blockage,Drainage issue,Dhanbad,48,5,High
3797,Streetlight Not Working,Street dark at night,Ranchi,37,0,Low
3798,Garbage Dump,Overflowing garbage,Jamshedpur,66,0,Medium
3799,Garbage Dump,kachra bahut hai,Bokaro,89,5,Medium
3800,Pothole,Big pothole on road,Chaibasa,39,2,Medium
3801,Electricity Outage,Power cut in area,Chaibasa,6,3,High
3802,Streetlight Not Working,Light not working,Bokaro,8,0,Low
3803,Illegal Parking,no parking followed,Chaibasa,34,2,Low
3804,Public Toilet Issue,toilet band hai,Ranchi,76,2,High
3805,Public Toilet Issue,Toilet unclean,Chaibasa,33,2,Medium
3806,Streetlight Not Working,Light not working,Hazaribagh,50,5,Medium
3807,Garbage Dump,kachra bahut hai,Ranchi,0,3,Medium
3808,Streetlight Not Working,bulb kharab,Ranchi,8,5,Medium
3809,Pothole,pothol road broken hai,Giridih,10,0,Low
3810,Streetlight Not Working,bulb kharab,Giridih,50,0,Low
3811,Road Damage,bad road condition,Hazaribagh,51,3,Medium
3812,Noise Pollution,Loud noise,Hazaribagh,34,4,High
3813,Garbage Dump,ganda kachra near market,Chaibasa,3,0,Medium
3814,Streetlight Not Working,bulb kharab,Deoghar,83,3,High
3815,Pothole,Big pothole on road,Jamshedpur,56,4,High
3816,Illegal Parking,Cars parked illegally,Hazaribagh,6,0,High
3817,Garbage Dump,ganda kachra near market,Giridih,45,2,Low
3818,Road Damage,road crack,Giridih,38,5,High
3819,Garbage Dump,kachra bahut hai,Ranchi,61,5,High
3820,Pothole,khadda on street,Dhanbad,39,4,High
3821,Illegal Parking,Blocking road,Chaibasa,91,0,High
3822,Noise Pollution,Noise disturbing area,Dhanbad,38,3,High
3823,Streetlight Not Working,Streetlight issue,Deoghar,95,4,High
3824,Noise Pollution,high sound pollution,Giridih,19,3,Medium
3825,Streetlight Not Working,Light not working,Bokaro,35,4,High
3826,Public Toilet Issue,smelly toilet,Ranchi,4,3,Medium
3827,Streetlight Not Working,Light not working,Dhanbad,40,3,High
3828,Pothole,pothol road broken hai,Bokaro,50,5,High
3829,Noise Pollution,Loud noise,Chaibasa,68,5,High
3830,Drainage Blockage,Nali jam hai,Ranchi,46,3,High
3831,Public Toilet Issue,toilet band hai,Giridih,89,0,High
3832,Drainage Blockage,Drainage issue,Ranchi,16,4,High
3833,Pothole,Big pothole on road,Jamshedpur,0,0,Medium
3834,Drainage Blockage,Drain blocked,Giridih,54,0,High
3835,Electricity Outage,Bijli chali gayi,Jamshedpur,98,5,High
3836,Road Damage,road crack,Bokaro,65,1,Medium
3837,Pothole,khadda on street,Giridih,97,5,Medium
3838,Pothole,Big pothole on road,Hazaribagh,33,5,High
3839,Streetlight Not Working,bulb kharab,Deoghar,80,3,High
3840,Garbage Dump,kachra bahut hai,Dhanbad,98,4,Medium
3841,Illegal Parking,Blocking road,Chaibasa,36,0,Medium
3842,Streetlight Not Working,Streetlight issue,Bokaro,3,1,Low
3843,Noise Pollution,Noise disturbing area,Bokaro,30,3,Medium
3844,Public Toilet Issue,Public toilet problem,Ranchi,55,2,Medium
3845,Noise Pollution,Noise disturbing area,Dhanbad,93,1,High
3846,Illegal Parking,Blocking road,Dhanbad,58,0,Medium
3847,Noise Pollution,DJ loud hai,Deoghar,79,4,Medium
3848,Illegal Parking,illegal gaadi parking,Hazaribagh,97,2,Medium
3849,Illegal Parking,Cars parked illegally,Giridih,98,5,Medium
3850,Streetlight Not Working,bulb kharab,Giridih,28,0,High
3851,Public Toilet Issue,smelly toilet,Deoghar,61,0,High
3852,Pothole,Road broken badly,Giridih,98,5,High
3853,Pothole,Road broken badly,Jamshedpur,21,2,Low
3854,Streetlight Not Working,Streetlight issue,Jamshedpur,59,1,Medium
3855,Pothole,pothol road broken hai,Bokaro,27,1,High
3856,Water Leakage,pipe se pani nikal raha hai,Deoghar,79,2,High
3857,Noise Pollution,high sound pollution,Deoghar,25,4,Medium
3858,Noise Pollution,high sound pollution,Hazaribagh,82,1,High
3859,Streetlight Not Working,Street dark at night,Ranchi,50,3,High
3860,Illegal Parking,Cars parked illegally,Giridih,83,3,High
3861,Water Leakage,Pipeline burst,Ranchi,26,1,High
3862,Pothole,Road broken badly,Dhanbad,95,4,High
3863,Road Damage,Road damaged,Dhanbad,59,1,High
3864,Road Damage,bad road condition,Dhanbad,25,0,Medium
3865,Electricity Outage,Bijli chali gayi,Dhanbad,69,2,High
3866,Public Toilet Issue,Public toilet problem,Hazaribagh,2,4,High
3867,Illegal Parking,Blocking road,Dhanbad,87,5,Medium
3868,Illegal Parking,illegal gaadi parking,Dhanbad,41,0,High
3869,Pothole,Big pothole on road,Ranchi,46,0,Medium
3870,Water Leakage,Water leakage near colony,Dhanbad,16,3,High
3871,Public Toilet Issue,smelly toilet,Bokaro,17,1,Low
3872,Pothole,Road broken badly,Hazaribagh,90,1,High
3873,Public Toilet Issue,toilet band hai,Jamshedpur,42,1,Medium
3874,Pothole,khadda on street,Giridih,77,0,Medium
3875,Illegal Parking,illegal gaadi parking,Chaibasa,78,3,Medium
3876,Electricity Outage,power outage,Ranchi,32,0,High
3877,Pothole,pothol road broken hai,Hazaribagh,3,5,Medium
3878,Garbage Dump,kachra bahut hai,Hazaribagh,62,3,Medium
3879,Road Damage,road crack,Dhanbad,0,4,High
3880,Pothole,khadda on street,Giridih,83,4,Medium
3881,Drainage Blockage,Drainage issue,Deoghar,20,5,High
3882,Road Damage,bad road condition,Bokaro,6,2,Low
3883,Electricity Outage,power outage,Hazaribagh,94,0,High
3884,Streetlight Not Working,Light not working,Ranchi,76,2,Medium
3885,Drainage Blockage,Nali jam hai,Giridih,40,4,High
3886,Water Leakage,Pipeline burst,Bokaro,51,0,High
3887,Streetlight Not Working,Light not working,Deoghar,2,2,Medium
3888,Road Damage,Sadak kharab hai,Hazaribagh,55,0,High
3889,Drainage Blockage,Nali jam hai,Deoghar,88,2,High
3890,Illegal Parking,Blocking road,Chaibasa,56,2,High
3891,Streetlight Not Working,Light not working,Bokaro,100,3,High
3892,Water Leakage,Pipeline burst,Deoghar,56,2,High
3893,Drainage Blockage,Drain blocked,Chaibasa,67,4,High
3894,Water Leakage,Water leakage near colony,Bokaro,23,0,High
3895,Pothole,pothol road broken hai,Bokaro,0,4,High
3896,Road Damage,Road damaged,Bokaro,81,4,Medium
3897,Garbage Dump,ganda kachra near market,Bokaro,94,0,Medium
3898,Public Toilet Issue,toilet band hai,Deoghar,13,5,High
3899,Streetlight Not Working,bulb kharab,Chaibasa,27,4,High
3900,Road Damage,Road damaged,Giridih,78,4,High
3901,Noise Pollution,Loud noise,Bokaro,59,3,Low
3902,Public Toilet Issue,smelly toilet,Hazaribagh,30,3,High
3903,Electricity Outage,Power cut in area,Jamshedpur,39,2,High
3904,Illegal Parking,illegal gaadi parking,Deoghar,17,3,Medium
3905,Drainage Blockage,Drain blocked,Giridih,72,0,High
3906,Noise Pollution,Noise disturbing area,Bokaro,83,4,Medium
3907,Pothole,pothol road broken hai,Giridih,59,4,High
3908,Streetlight Not Working,Streetlight issue,Deoghar,86,3,High
3909,Public Toilet Issue,smelly toilet,Bokaro,67,2,High
3910,Streetlight Not Working,Streetlight issue,Jamshedpur,7,3,Medium
3911,Streetlight Not Working,Light not working,Ranchi,40,5,Medium
3912,Water Leakage,leakage of pani,Bokaro,19,1,High
3913,Noise Pollution,DJ loud hai,Deoghar,75,4,Medium
3914,Water Leakage,pipe se pani nikal raha hai,Dhanbad,28,0,High
3915,Drainage Blockage,Nali jam hai,Chaibasa,15,2,High
3916,Water Leakage,pipe se pani nikal raha hai,Chaibasa,31,2,High
3917,Pothole,pothol road broken hai,Deoghar,74,1,High
3918,Pothole,khadda on street,Ranchi,19,0,Low
3919,Electricity Outage,power outage,Hazaribagh,33,2,Medium
3920,Road Damage,Sadak kharab hai,Jamshedpur,72,1,High
3921,Illegal Parking,Blocking road,Chaibasa,41,0,Medium
3922,Road Damage,road crack,Ranchi,83,1,High
3923,Drainage Blockage,Drainage issue,Ranchi,31,5,High
3924,Noise Pollution,high sound pollution,Dhanbad,42,0,Medium
3925,Public Toilet Issue,Public toilet problem,Hazaribagh,98,4,Medium
3926,Streetlight Not Working,bulb kharab,Ranchi,73,5,Low
3927,Streetlight Not Working,Street dark at night,Giridih,51,4,High
3928,Pothole,Road broken badly,Dhanbad,23,5,Medium
3929,Pothole,Big pothole on road,Chaibasa,51,0,High
3930,Garbage Dump,kachra bahut hai,Jamshedpur,43,5,Medium
3931,Electricity Outage,power outage,Ranchi,39,4,High
3932,Garbage Dump,kachra bahut hai,Jamshedpur,48,1,High
3933,Noise Pollution,DJ loud hai,Jamshedpur,94,5,High
3934,Water Leakage,Water leakage near colony,Deoghar,14,0,High
3935,Illegal Parking,no parking followed,Dhanbad,5,0,Medium
3936,Electricity Outage,No electricity since morning,Ranchi,23,3,High
3937,Road Damage,Sadak kharab hai,Dhanbad,68,3,High
3938,Road Damage,Road damaged,Ranchi,88,5,Medium
3939,Road Damage,bad road condition,Hazaribagh,6,2,Low
3940,Water Leakage,pipe se pani nikal raha hai,Chaibasa,94,2,High
3941,Pothole,khadda on street,Hazaribagh,82,3,Medium
3942,Drainage Blockage,Nali jam hai,Chaibasa,22,2,High
3943,Public Toilet Issue,Toilet unclean,Hazaribagh,70,4,Medium
3944,Electricity Outage,power outage,Chaibasa,53,2,High
3945,Garbage Dump,kachra bahut hai,Chaibasa,18,4,Medium
3946,Noise Pollution,high sound pollution,Dhanbad,17,4,High
3947,Illegal Parking,Cars parked illegally,Chaibasa,32,0,Medium
3948,Road Damage,bad road condition,Deoghar,54,0,Medium
3949,Streetlight Not Working,Streetlight issue,Giridih,9,5,Medium
3950,Drainage Blockage,dirty water overflow,Dhanbad,81,0,High
3951,Water Leakage,leakage of pani,Dhanbad,97,2,High
3952,Garbage Dump,Overflowing garbage,Jamshedpur,51,0,High
3953,Pothole,Big pothole on road,Ranchi,66,3,High
3954,Illegal Parking,no parking followed,Deoghar,62,0,High
3955,Pothole,pothol road broken hai,Ranchi,60,2,Medium
3956,Drainage Blockage,dirty water overflow,Giridih,93,3,High
3957,Garbage Dump,Overflowing garbage,Deoghar,85,0,Medium
3958,Pothole,Big pothole on road,Chaibasa,6,5,High
3959,Pothole,pothol road broken hai,Ranchi,92,1,Medium
3960,Public Toilet Issue,Public toilet problem,Bokaro,20,5,High
3961,Noise Pollution,Noise disturbing area,Chaibasa,60,2,Medium
3962,Drainage Blockage,Drainage issue,Giridih,81,1,High
3963,Electricity Outage,Bijli chali gayi,Deoghar,32,1,High
3964,Electricity Outage,Power cut in area,Dhanbad,85,5,High
3965,Streetlight Not Working,bulb kharab,Ranchi,56,2,Medium
3966,Public Toilet Issue,toilet band hai,Bokaro,99,4,High
3967,Noise Pollution,high sound pollution,Chaibasa,98,5,High
3968,Pothole,khadda on street,Deoghar,67,2,High
3969,Noise Pollution,Noise disturbing area,Deoghar,84,0,Medium
3970,Electricity Outage,Power cut in area,Ranchi,34,4,High
3971,Illegal Parking,illegal gaadi parking,Ranchi,21,2,High
3972,Noise Pollution,DJ loud hai,Bokaro,71,3,High
3973,Public Toilet Issue,Toilet unclean,Jamshedpur,94,4,High
3974,Road Damage,road crack,Jamshedpur,47,5,High
3975,Road Damage,Sadak kharab hai,Deoghar,85,5,High
3976,Noise Pollution,Loud noise,Bokaro,52,0,Medium
3977,Electricity Outage,Power cut in area,Ranchi,88,4,High
3978,Electricity Outage,Bijli chali gayi,Chaibasa,19,2,High
3979,Water Leakage,Pipeline burst,Chaibasa,73,4,High
3980,Electricity Outage,No electricity since morning,Hazaribagh,60,5,High
3981,Noise Pollution,high sound pollution,Jamshedpur,31,3,Medium
3982,Water Leakage,Pipeline burst,Giridih,10,2,High
3983,Electricity Outage,power outage,Dhanbad,44,1,High
3984,Road Damage,bad road condition,Chaibasa,66,5,Medium
3985,Road Damage,Road damaged,Hazaribagh,33,3,High
3986,Water Leakage,pipe se pani nikal raha hai,Bokaro,92,4,High
3987,Noise Pollution,Noise disturbing area,Chaibasa,55,1,High
3988,Streetlight Not Working,Light not working,Bokaro,32,3,Medium
3989,Road Damage,Sadak kharab hai,Chaibasa,36,2,Medium
3990,Garbage Dump,ganda kachra near market,Giridih,8,2,Low
3991,Pothole,pothol road broken hai,Giridih,59,0,High
3992,Streetlight Not Working,Street dark at night,Ranchi,13,3,High
3993,Streetlight Not Working,Streetlight issue,Bokaro,31,0,Medium
3994,Public Toilet Issue,Public toilet problem,Giridih,8,4,Medium
3995,Illegal Parking,no parking followed,Jamshedpur,24,0,Low
3996,Public Toilet Issue,Toilet unclean,Chaibasa,69,1,High
3997,Electricity Outage,power outage,Deoghar,44,4,High
3998,Electricity Outage,Bijli chali gayi,Ranchi,10,4,High
3999,Drainage Blockage,dirty water overflow,Dhanbad,17,0,High
4000,Noise Pollution,DJ loud hai,Hazaribagh,34,3,High
4001,Road Damage,road crack,Ranchi,36,3,High
4002,Water Leakage,Pipeline burst,Chaibasa,78,4,High
4003,Water Leakage,pipe se pani nikal raha hai,Giridih,2,1,High
4004,Public Toilet Issue,Public toilet problem,Giridih,95,3,Medium
4005,Drainage Blockage,dirty water overflow,Dhanbad,23,3,High
4006,Water Leakage,pipe se pani nikal raha hai,Chaibasa,0,4,High
4007,Garbage Dump,kachra bahut hai,Giridih,95,0,High
4008,Drainage Blockage,dirty water overflow,Deoghar,96,5,High
4009,Water Leakage,Pipeline burst,Ranchi,57,3,High
4010,Noise Pollution,DJ loud hai,Ranchi,60,1,Medium
4011,Water Leakage,pipe se pani nikal raha hai,Deoghar,21,4,High
4012,Electricity Outage,No electricity since morning,Dhanbad,5,5,High
4013,Noise Pollution,high sound pollution,Bokaro,92,5,Medium
4014,Electricity Outage,power outage,Giridih,13,0,Medium
4015,Drainage Blockage,Drainage issue,Giridih,100,4,High
4016,Illegal Parking,Cars parked illegally,Giridih,100,2,High
4017,Electricity Outage,power outage,Giridih,95,5,High
4018,Noise Pollution,Noise disturbing area,Dhanbad,9,5,High
4019,Public Toilet Issue,Public toilet problem,Giridih,3,0,Low
4020,Noise Pollution,DJ loud hai,Hazaribagh,75,5,High
4021,Road Damage,Road damaged,Bokaro,76,2,Low
4022,Noise Pollution,DJ loud hai,Jamshedpur,65,0,Medium
4023,Illegal Parking,no parking followed,Bokaro,18,4,High
4024,Road Damage,Road damaged,Ranchi,99,0,Medium
4025,Public Toilet Issue,toilet band hai,Deoghar,35,1,Low
4026,Public Toilet Issue,Toilet unclean,Chaibasa,21,4,High
4027,Illegal Parking,Blocking road,Deoghar,84,4,Medium
4028,Drainage Blockage,Drainage issue,Deoghar,63,2,High
4029,Streetlight Not Working,Street dark at night,Giridih,88,5,High
4030,Electricity Outage,Power cut in area,Hazaribagh,65,2,High
4031,Drainage Blockage,Nali jam hai,Deoghar,16,5,High
4032,Road Damage,Road damaged,Dhanbad,82,4,High
4033,Noise Pollution,Loud noise,Dhanbad,80,5,High
4034,Electricity Outage,Bijli chali gayi,Ranchi,40,1,High
4035,Illegal Parking,Blocking road,Hazaribagh,97,4,High
4036,Water Leakage,leakage of pani,Bokaro,38,0,High
4037,Garbage Dump,Garbage not collected,Hazaribagh,100,1,Medium
4038,Illegal Parking,illegal gaadi parking,Ranchi,29,2,Medium
4039,Road Damage,road crack,Dhanbad,4,2,Medium
4040,Pothole,Big pothole on road,Hazaribagh,36,3,Medium
4041,Water Leakage,Pipeline burst,Giridih,41,2,High
4042,Garbage Dump,Garbage not collected,Bokaro,26,2,High
4043,Streetlight Not Working,Street dark at night,Giridih,27,4,High
4044,Water Leakage,Water leakage near colony,Hazaribagh,63,1,Low
4045,Noise Pollution,Loud noise,Bokaro,11,5,High
4046,Electricity Outage,Power cut in area,Dhanbad,71,0,High
4047,Noise Pollution,Noise disturbing area,Giridih,48,5,Medium
4048,Noise Pollution,DJ loud hai,Ranchi,13,5,High
4049,Road Damage,Road damaged,Bokaro,93,5,High
4050,Illegal Parking,Cars parked illegally,Hazaribagh,62,0,High
4051,Streetlight Not Working,Light not working,Jamshedpur,88,4,High
4052,Pothole,Road broken badly,Jamshedpur,41,0,Low
4053,Electricity Outage,power outage,Deoghar,33,4,High
4054,Road Damage,Road damaged,Deoghar,60,3,Medium
4055,Water Leakage,Water leakage near colony,Chaibasa,45,5,High
4056,Streetlight Not Working,Street dark at night,Ranchi,15,3,High
4057,Garbage Dump,Garbage not collected,Ranchi,11,5,High
4058,Pothole,Road broken badly,Giridih,24,4,Medium
4059,Pothole,khadda on street,Hazaribagh,44,4,High
4060,Illegal Parking,no parking followed,Bokaro,87,4,Medium
4061,Pothole,pothol road broken hai,Jamshedpur,3,3,Medium
4062,Garbage Dump,ganda kachra near market,Ranchi,35,5,Medium
4063,Pothole,khadda on street,Deoghar,96,3,Medium
4064,Road Damage,Sadak kharab hai,Dhanbad,70,1,High
4065,Public Toilet Issue,Public toilet problem,Deoghar,23,1,Medium
4066,Electricity Outage,Bijli chali gayi,Jamshedpur,45,2,Medium
4067,Illegal Parking,illegal gaadi parking,Bokaro,100,0,High
4068,Illegal Parking,Blocking road,Bokaro,63,4,High
4069,Streetlight Not Working,Light not working,Ranchi,18,1,Low
4070,Drainage Blockage,dirty water overflow,Giridih,66,2,High
4071,Public Toilet Issue,toilet band hai,Jamshedpur,91,2,Medium
4072,Illegal Parking,illegal gaadi parking,Chaibasa,29,0,Medium
4073,Illegal Parking,illegal gaadi parking,Hazaribagh,4,0,High
4074,Electricity Outage,power outage,Deoghar,32,0,High
4075,Streetlight Not Working,Light not working,Jamshedpur,89,3,Medium
4076,Illegal Parking,Cars parked illegally,Giridih,3,1,Medium
4077,Pothole,pothol road broken hai,Deoghar,100,2,High
4078,Electricity Outage,Bijli chali gayi,Giridih,22,5,High
4079,Streetlight Not Working,bulb kharab,Jamshedpur,63,3,High
4080,Electricity Outage,No electricity since morning,Deoghar,80,5,High
4081,Illegal Parking,Cars parked illegally,Ranchi,100,3,High
4082,Noise Pollution,DJ loud hai,Dhanbad,52,5,High
4083,Road Damage,road crack,Chaibasa,48,4,Medium
4084,Public Toilet Issue,Public toilet problem,Giridih,95,1,High
4085,Noise Pollution,Loud noise,Chaibasa,41,5,Medium
4086,Noise Pollution,Noise disturbing area,Giridih,73,0,High
4087,Electricity Outage,No electricity since morning,Bokaro,96,0,High
4088,Streetlight Not Working,Light not working,Chaibasa,95,3,Medium
4089,Noise Pollution,Loud noise,Deoghar,42,5,High
4090,Electricity Outage,power outage,Giridih,36,4,High
4091,Public Toilet Issue,toilet band hai,Deoghar,89,5,Medium
4092,Pothole,khadda on street,Jamshedpur,14,3,Medium
4093,Electricity Outage,Bijli chali gayi,Dhanbad,89,2,High
